2024-11-10 @Oklahoma St              80  St Thomas MN             71            
2024-11-10  UC Irvine                80 @Northern Iowa            60            
2024-11-10 @LSU                      74  Alabama St               61            
2024-11-10 @Georgia                  92  TX Southern              64            
2024-11-11 @Howard                   91  Dillard                  73            
2024-11-11  San Jose St              93  Life Pacific             56           Honolulu, HI 
2024-11-11 @Bowling Green           107  Taylor IN                43            
2024-11-11 @Alabama                  72  McNeese St               64            
2024-11-11 @UMBC                    120  Valley Forge             61            
2024-11-11 @Marshall                 77  Southern Indiana         63            
2024-11-11 @Austin Peay              67  Chattanooga              61            
2024-11-11 @Alabama A&M             103  Ark Baptist              57            
2024-11-11  LIU Brooklyn             63 @Air Force                54            
2024-11-11 @Central Conn            117  NVU-Johnson              68            
2024-11-11 @S Carolina St            94  Voorhees                 48            
2024-11-11 @Oklahoma                 73  Northwestern LA          57            
2024-11-11 @Ga Southern              79  Augusta                  69            
2024-11-11 @Hawaii                   76  Pacific                  66            
2024-11-11 @Butler                   85  W Michigan               65            
2024-11-11 @Citadel                  74  Stetson                  52            
2024-11-11 @Furman                   78  Jacksonville             69            
2024-11-11 @Iowa St                  82  Missouri KC              56            
2024-11-11 @Maryland                 84  Florida A&M              53            
2024-11-11 @Purdue                   92  Yale                     84            
2024-11-11 @SMU                      81  UNC Greensboro           68            
2024-11-11 @UCLA                     71  Boston Univ              40            
2024-11-11 @Virginia                 62  Coppin St                45            
2024-11-11 @Virginia Tech            58  Winthrop                 52            
2024-11-11 @North Alabama            87  TN Martin                69            
2024-11-11 @Charleston So           108  Morris SC                50            
2024-11-11 @Tulane                   84  Alcorn St                51            
2024-11-11 @Missouri                 84  E Washington             77            
2024-11-11 @Florida                  86  Grambling                62            
2024-11-11 @George Mason             94  Stony Brook              56            
2024-11-11 @Washington St            90  Idaho                    67            
2024-11-11 @Idaho St                 87  Southern Oregon          63            
2024-11-11 @Texas A&M                97  Lamar                    71            
2024-11-11 @Missouri St              90  MO Southern              61            
2024-11-11 @Montana St               93  Northwest Indian         35            
2024-11-11 @CS Bakersfield           86  N Dakota St              81            
2024-11-11 @Pittsburgh               83  Gardner Webb             64            
2024-11-11 @Rutgers                  75  St Peter's               65            
2024-11-11 @Notre Dame               86  Buffalo                  77            
2024-11-11 @Marquette                70  C Michigan               62            
2024-11-11 @DePaul                   95  Mercer                   64            
2024-11-11 @Ohio St                  81  Youngstown St            47            
2024-11-12 @New Mexico              100  TAM C. Christi           81            
2024-11-12 @High Point               76  NC Central               60            
2024-11-12 @Columbia                 76  Lehigh                   75            
2024-11-12 @James Madison           100  Mary Baldwin             52            
2024-11-12 @SF Austin                87  Le Tourneau              68            
2024-11-12 @Rice                     66  ULM                      50            
2024-11-12 @Morgan St                90  Dist Columbia            64            
2024-11-12 @Oregon                   80  Portland                 70 O1         
2024-11-12 @Samford                 108  Rhodes                   52            
2024-11-12 @Baylor                  104  Sam Houston St           67            
2024-11-12 @Southern Utah           107  Bethesda                 54            
2024-11-12 @Temple                   69  Drexel                   61            
2024-11-12 @San Diego St            100  Occidental               49            
2024-11-12 @Boise St                100  Corban                   65            
2024-11-12 @Delaware St              70  Gwynedd-Mercy            54            
2024-11-12 @WKU                     104  Campbellsville           76            
2024-11-12 @Oregon St                94  W Oregon                 58            
2024-11-12 @Manhattan                88  Mercy                    71            
2024-11-12 @William & Mary           84  Norfolk St               73            
2024-11-12  Belmont                  80 @Lipscomb                 79            
2024-11-12  Kentucky                 77  Duke                     72           Atlanta, GA 
2024-11-12 @Georgia                  90  North Florida            77            
2024-11-12  Delaware                 64 @Iona                     58            
2024-11-12 @La Salle                 93  Cornell                  77            
2024-11-12  Kansas                   77  Michigan St              69           Atlanta, GA 
2024-11-12  Rider                    90 @Navy                     79            
